DEPARTAMENTO,PROVINCIA,DISTRITO,EDAD,SEXO,PRIMERA CARRERA,SEGUNDA CARRERA
CALLAO,CALLAO,CALLAO,22,Femenino,Contabilidad,Administración
LIMA,LIMA,LOS OLIVOS,18,Femenino,Administración,Secretariado Ejecutivo
CALLAO,CALLAO,BELLAVISTA,32,Masculino,Contabilidad,Administración
LIMA,LIMA,CIENEGUILLA,38,Masculino,Mecánica de Producción,Mecánica Automotriz
LIMA,LIMA,VILLA MARIA DEL TRIUNFO,24,Femenino,Diseño Gráfico,Diseño Publicitario
CALLAO,CALLAO,CALLAO,18,Masculino,Diseño Gráfico,Diseño Publicitario
LIMA,LIMA,SAN JUAN DE LURIGANCHO,17,Femenino,Diseño Gráfico,Diseño Publicitario
LIMA,LIMA,SAN MARTIN DE PORRES,17,Masculino,Diseño Gráfico,Diseño Gráfico
LIMA,LIMA,SAN MIGUEL,26,Masculino,Desarrollo de Sistemas de Información,Desarrollo de Sistemas de Información
CALLAO,CALLAO,BELLAVISTA,17,Femenino,Diseño Gráfico,Diseño Gráfico
CALLAO,CALLAO,CALLAO,18,Masculino,Diseño Publicitario,Diseño Gráfico
CALLAO,CALLAO,CALLAO,18,Masculino,Diseño Gráfico,Diseño Publicitario
LIMA,LIMA,LIMA,29,Femenino,Diseño Gráfico,Diseño Publicitario
LIMA,LIMA,CHORRILLOS,18,Masculino,Diseño Publicitario,Diseño Gráfico
LIMA,LIMA,SAN MARTIN DE PORRES,20,Masculino,Contabilidad,Diseño Gráfico
LIMA,LIMA,LOS OLIVOS,19,Masculino,Contabilidad,Administración
LIMA,LIMA,EL AGUSTINO,31,Masculino,Mecánica Automotriz,Mecánica Automotriz
LIMA,LIMA,EL AGUSTINO,27,Masculino,Mecánica Automotriz,Mecánica Automotriz
LIMA,LIMA,SAN MARTIN DE PORRES,31,Femenino,Diseño Gráfico,Desarrollo de Sistemas de Información
CALLAO,CALLAO,VENTANILLA,28,Masculino,Administración,Construcción Civil
CALLAO,CALLAO,CALLAO,18,Masculino,Construcción Civil,Desarrollo de Sistemas de Información
LIMA,LIMA,LOS OLIVOS,18,Femenino,Diseño Publicitario,Diseño Gráfico
CALLAO,CALLAO,VENTANILLA,31,Masculino,Diseño Gráfico,Desarrollo de Sistemas de Información
LIMA,LIMA,VILLA MARIA DEL TRIUNFO,53,Masculino,Mecánica Automotriz,Mecánica de Producción
LIMA,LIMA,CHORRILLOS,23,Femenino,Contabilidad,Desarrollo de Sistemas de Información
LIMA,LIMA,SAN MARTIN DE PORRES,36,Masculino,Desarrollo de Sistemas de Información,Construcción Civil
CALLAO,CALLAO,VENTANILLA,27,Masculino,Construcción Civil,Mecánica Automotriz
LIMA,LIMA,SAN MARTIN DE PORRES,39,Femenino,Desarrollo de Sistemas de Información,Diseño Gráfico
CALLAO,CALLAO,BELLAVISTA,32,Masculino,Construcción Civil,Mecánica Automotriz
LIMA,LIMA,COMAS,29,Femenino,Contabilidad,Administración
LIMA,LIMA,PUEBLO LIBRE,21,Masculino,Contabilidad,Mecánica Automotriz
LIMA,LIMA,LIMA,20,Masculino,Mecánica Automotriz,Mecánica Automotriz
LIMA,LIMA,ATE,33,Femenino,Contabilidad,Administración
CALLAO,CALLAO,VENTANILLA,19,Masculino,Diseño Gráfico,Diseño Gráfico
ICA,PISCO,PISCO,24,Femenino,Administración,Construcción Civil
LIMA,LIMA,INDEPENDENCIA,50,Femenino,Desarrollo de Sistemas de Información,Secretariado Ejecutivo
CALLAO,CALLAO,BELLAVISTA,24,Masculino,Administración,Mecánica Automotriz
LIMA,LIMA,SAN LUIS,17,Masculino,Desarrollo de Sistemas de Información,Diseño Gráfico
LIMA,LIMA,SAN MARTIN DE PORRES,23,Femenino,Administración,Diseño Publicitario
CALLAO,CALLAO,CALLAO,20,Masculino,Mecánica Automotriz,Mecánica Automotriz
LIMA,LIMA,SAN MARTIN DE PORRES,48,Femenino,Administración,Secretariado Ejecutivo
CALLAO,CALLAO,BELLAVISTA,18,Masculino,Administración,Contabilidad
CALLAO,CALLAO,LA PERLA,28,Femenino,Secretariado Ejecutivo,Diseño Publicitario
LIMA,LIMA,SAN MARTIN DE PORRES,35,Masculino,Diseño Gráfico,Desarrollo de Sistemas de Información
CALLAO,CALLAO,CALLAO,28,Masculino,Administración,Desarrollo de Sistemas de Información
LIMA,LIMA,CHORRILLOS,26,Masculino,Diseño Gráfico,Diseño Publicitario
LIMA,LIMA,SAN JUAN DE LURIGANCHO,23,Femenino,Secretariado Ejecutivo,Administración
CALLAO,CALLAO,BELLAVISTA,27,Femenino,Secretariado Ejecutivo,Administración
CALLAO,CALLAO,CALLAO,42,Femenino,Mecánica de Producción,Mecánica de Producción
LIMA,LIMA,SAN JUAN DE LURIGANCHO,26,Femenino,Administración,Administración
CALLAO,CALLAO,CARMEN DE LA LEGUA REYNOSO,52,Masculino,Administración,Contabilidad
LIMA,LIMA,JESUS MARIA,32,Femenino,Administración,Administración
CALLAO,CALLAO,VENTANILLA,18,Masculino,Contabilidad,Administración
LIMA,LIMA,LURIGANCHO,19,Femenino,Contabilidad,Contabilidad
CALLAO,CALLAO,CALLAO,25,Femenino,Contabilidad,Administración
CALLAO,CALLAO,CALLAO,41,Femenino,Administración,Diseño Gráfico
LIMA,LIMA,RIMAC,49,Femenino,Secretariado Ejecutivo,Administración
CALLAO,CALLAO,CALLAO,27,Femenino,Secretariado Ejecutivo,Diseño Publicitario
LIMA,LIMA,SAN JUAN DE LURIGANCHO,34,Masculino,Desarrollo de Sistemas de Información,Diseño Publicitario
